,utt,날씨 묻기,관광지 추천,숙소 추천,맛집 추천,인사,소개,활동 추천,카페 추천
1533,제주도 북쪽 관광지 추천 아 해주라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4680,반갑습니다 여행 정보를 좀 얻고 싶어요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2861,너 뭐 아 할수 있는지 말해볼래?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3315,제원길 지역에서 유명한 고사리육개장 식당 추천 좀.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4316,이번주 성산일출봉 근처 날씨 상황 어떤지 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3767,다음주 애월 날씨 상황 알고 싶어.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4927,한경 봄에 재밌는 거 있냐,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
554,서귀포 마당 있는 풀빌라 어디가 괜찮니?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3780,내일 모레 제주공항 기상 정보 알려 줄래?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3585,서문로 근처에 있는 성게 미역국 음식점,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2147,제주도 어 동쪽 관광지 추천 ㄱㄱ.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2520,기능 일단 부탁해.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1248,제주도 갈만한 카페 흠 있니?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3920,이번에 서귀포 기온 알고 싶어.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5502,제주 가을 할 거 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,바다 보이는 게스트하우스 추천,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4755,저기 정보 좀 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2579,사람들이 자주 쓰는 기능 좀 알려줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4653,반가워요 정보 좀 주세요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4981,안덕 여름 재밌는 것 알려주세요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2905,너 먼저 뭐 할수 있는지 궁금해.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
259,제주 서부 한달살기 독채펜션 추천,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
645,하귀 편안한 머무를 곳 어디가 예뻐?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3771,이번에 성산일출봉 근처 날씨 어때요?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1456,제주도 그 갈만한 카페 말해.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1548,제주 음 관광지 추천 해봐.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2363,어 기능 ㄱㄱ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2855,너 뭐 할수 있는지 근데 ㄱㄱ.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,우도 풀빌라 어디가 좋니?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4788,야 챗봇아 제주도 정보 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2918,먼저 너 뭐 할수 있는지 말해줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
792,좀 카페 추천 해봐.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3849,다음주 성산일출봉 근처 날씨 상태 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4477,오늘 성산일출봉 근처 날씨 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4736,저기요 정보 주세요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3869,이번에 제주 서부 날씨 상황 어때요?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2164,제주도 남쪽 관광지 음 추천 ㄱㄱ.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4109,오늘 제주 날씨 상황 어떠니?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,제주 괜찮은 독채 어디가 좋을까?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4296,내일 서귀포 날씨 상황 말해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3701,올레 맛있는 비빔국수 음식집 추천.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2606,제일 편리한 기능 보여주세요.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5058,애월 겨울 체험 알려주세요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4285,지금 제주공항 날씨 상황 어떤지 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2295,제주도 북쪽 관광지 아 추천 해볼래.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1159,제주도 갈만한 카페 그러니까 뭐 있어?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4540,안녕하세요 정보를 얻고 싶습니다,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3286,두조로 지역에서 유명한 흑돼지 구이 음식점 좀 추천해줘.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4939,안덕 가을 체험 알려주세요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4686,방가방가 제주도 정보 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2543,기능 있잖아 소개해줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2608,기능 보여줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
314,제주 서부 바다 보이는 독채펜션,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3340,섭지코지 유명한 성게 미역국 음식집 어디에 있어?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2730,제일 많이 쓰이는 기능 소개해 줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2949,너 뭐 어 할수 있는지 소개해 주세요.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
250,우도 편안한 독채펜션 어디에 있어?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1246,제주도 갈만한 그런데 카페 있을까?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4758,저기 여행 정보를 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4986,제주도 여름에 할만한 것 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1666,제주도 흠 북쪽 관광지 추천 해주세요.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1230,저기 제주도 갈만한 카페 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5204,우도 겨울에 액티비티 있나?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1642,섬 아래쪽 어 관광지 추천 해주세요.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4829,하이 나 제주도 여행 간다,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2506,아 기능 궁금해요.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1892,제주도 남쪽 관광지 아 추천 해봐바.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3264,제주 맛있는 옥돔구이 음식점 어디에 있어?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3534,만장굴 유명한 보말 칼국수 음식점 어디가 좋을까?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2289,제주도 서쪽 음 관광지 추천 해볼래.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
428,하귀 바다 보이는 펜션 어디가 괜찮니?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1296,제주도 갈만한 카페 좀 말해볼래?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5508,마라도 겨울에 할만한 것 추천해 줘,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4515,안뇽 제주도 여행 정보를 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4242,오늘 제주공항 날씨 상황 어떤지 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3180,월랑로 유명한 성게 미역국 음식점,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4582,하잉 여행 정보를 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4497,안녕 정보 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1381,제주도 갈만한 카페 뭐 일단 있어?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3886,내일 제주공항 근처 날씨 상태 말해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116,제주공항 바다 보이는 풀빌라 어디가 예뻐?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1179,제주도 그 갈만한 카페 있니?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3456,한라산 오겹살 식당 어디가 맛있어?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
871,카페 그러니까 추천 해봐.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,우도 가족끼리 갈만한 모텔 좀 추천해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4652,반가워요 정보 주세요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1936,제주도 아래쪽 관광지 추천 어 해라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4422,저번주 우도 날씨 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1766,아 제주 관광지 추천 해.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
503,서귀포 한달살기 독채 어디가 저 좋니?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,제주 동부 바다뷰 머무를 곳 어디가 그 좋을까?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1240,제주도 갈만한 그니까 카페 뭐 있어?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2185,제주섬 관광지 추천 아 해줘봐라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2721,많이 쓰는 기능 궁금해요.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4734,저기요 제주도 여행 정보를 얻고 싶습니다,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4873,안녕 나 좀 도와줄 수 있어?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
870,그런데 카페 추천 해볼래?.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4167,이번에 우도 기온 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2940,흠 너 뭐 할수 있는지 알려줘봐.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1519,흠 제주도 동쪽 관광지 추천 해주라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4651,반가워요 제주도 여행 정보를 좀 얻고 싶습니다,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1050,음 카페 추천 부탁해.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4263,이번주 우도 날씨 상태 어때요?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4090,이번주 제주 기온 궁금하다.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101,우도 독채펜션 좀 추천해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4711,안녕 챗봇아 제주도 정보 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1321,제주도 갈만한 일단 카페 있니?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3826,이번주 제주공항 근처 기온 어떤지 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3301,고마로 유명한 고등어구이 식당 추천.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,제주 서부 한달살기 독채펜션 추천해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5123,제주도 여름 재밌는 것 추천해줘,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,제주공항 근처 괜찮은 독채펜션 어디가 좋아?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2860,우선 너 뭐 할수 있는지 말해줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1102,저기 카페 추천 해볼래?.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
447,애월 괜찮은 잘 곳 알려줄래?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4421,내일 모레 제주 날씨 상태 궁금해.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5425,표선 겨울 액티비티 알려주세요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4135,내일 모레 우도 날씨 상황 궁금해.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4612,ㅎㅇ 제주도 정보 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3847,이번주 제주공항 기온 알려 줄래?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3786,오늘 우도 기상 정보 알려 줄래?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1847,제주쪽 아 관광지 추천 해봐바.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2103,서귀포시 아 관광지 추천 ㄱㄱ.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,섬 아래쪽 음 관광지 추천 해줄랭.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4228,지금 제주공항 날씨 상황 어때요?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4836,챗봇아 나 제주도 여행 가,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1723,제주도 어 아래쪽 관광지 추천 좀 해줘.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3137,함덕리 대표하는 옥돔구이 음식집 알려줘.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2534,저기 기능 보여줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4537,안녕하세요 정보 좀 주세요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4597,하이루 정보 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5543,안덕 가을 놀거리 알려 주세요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4643,반가워요 제주도 정보 좀 주세요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1117,그러니까 카페 추천 해보라니까.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2067,섬 아래쪽 관광지 추천 흠 해줄랭.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,성산일출봉 근처 분위기 좋은 잘 곳 추천해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
359,하귀 분위기 좋은 독채 어디가 괜찮니?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
161,제주 바다뷰 호텔 어디에 있어?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
634,제주공항 가족끼리 갈만한 잘 곳 추천,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3477,만장굴 유명한 보말 칼국수 식당 추천 좀.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
557,애월 마당 있는 독채,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1236,제주도 갈만한 카페 저기 있니?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4972,제주도 가을 할만한 거 있나?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4543,안녕하세요 여행 정보를 좀 얻고 싶어요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
943,카페 추천 그런데 ㄱㄱ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3016,너 뭐 할수 일단 있는지 말해줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5505,남원 겨울 재밌는 것 있나?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
684,제주 서부 괜찮은 모텔 좀 추천해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4555,하이 제주도 정보 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2355,기능 먼저 알려줘봐.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
545,서귀포 편안한 잘 곳 어디가 좋을까?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
582,제주공항 분위기 좋은 독채펜션 어디가 좋아?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4309,현재 애월 기상 정보 어떠니?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5193,남원 가을에 할 거 알려줘.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5088,성산 여름 할 거 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4012,이번주 애월 기상 정보 어떤지 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
988,음 카페 추천 해봐.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3889,이번주 제주 동부 기상 정보 말해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2353,일단 기능 궁금해.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5567,제주시 가을에 재밌는 것 추천해줘,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4886,나 제주행 비행기 예약했어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3450,제주국제공항서귀포시 대표하는 옥돔구이 음식점 어디가 좋을까?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3192,제원길 대표하는 고사리육개장 음식점 추천해줘.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1144,제주도 갈만한 그 카페 있을까?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5347,대정 가을 놀거리 뭐있어?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4323,다음주 서귀포 날씨 상태 말해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4575,하잉 제주도 정보 좀 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2967,너 뭐 할수 음 있는지 소개해 주세요.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2318,일단 기능 소개해줘.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4467,이번주 제주 동부 기상 정보 궁금하다.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
473,제주 동부 펜션 어디가 괜찮니? 저,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5012,제주도 여름 할만한 것 뭐있어,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3856,현재 애월 기상 정보 알고 싶어.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3037,서광리 가성비 좋은 삼겹살 음식집,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5589,제주도 겨울 할 만한 것 있나?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4120,이번주 제주공항 날씨 상태 말해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
951,카페 아 추천 해볼래?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3833,지금 제주 서부 날씨 상태 말해줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
636,제주공항 바다 보이는 잘 곳 어디가 괜찮아?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200,서귀포 마당 있는 풀빌라 어디가 좋을까?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
758,카페 추천 흠 해보라니까.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4088,현재 서귀포 기상 정보 알고 싶어요.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
308,제주 서부 마당 있는 저 게스트하우스 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1387,제주도 음 갈만한 카페 있을까?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
433,분위기 좋은 펜션 추천 좀,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3689,원노형로 대표하는 보말 칼국수 음식점 추천 좀.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3153,대정읍 지역에서 유명한 흑돼지 튀김 음식점,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2234,흠 제주시 관광지 추천 해볼래.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5037,대정 가을 놀거리 뭐있을까?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2039,제주 흠 관광지 추천 해줄랭.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3287,해맞이해안로 대표하는 고사리육개장 음식집 어디에 있어?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5110,성산 봄 할 만한 것 뭐있을까?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4527,안녕하세요 제주도 정보 좀 주세요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4261,오늘 제주공항 기상 정보 궁금하다.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2036,서귀포시 관광지 어 추천 해줄랭.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
354,서귀포 바다 보이는 풀빌라 어디가 좋을까?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4604,ㅎㅇ 챗봇,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1162,그런데 제주도 갈만한 카페 뭐 있어?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1225,제주도 갈만한 카페 저기 뭐 있어?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5072,서귀포 여름에 할만한 것 알려 주세요.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3118,동백로 근처에 있는 흑돼지 튀김 음식집 추천해줘.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1056,카페 추천 일단 해주라.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5107,애월 겨울 할만한 것 알려 주세요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1227,제주도 그 갈만한 카페 뭐 있어?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1791,아 섬 아래쪽 관광지 추천 해.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,제주 서부 괜찮은 호텔 어디가 좋을까?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3564,신북로 맛있는 고등어구이 음식집 추천 ㄱㄱ.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
255,제주 동부 분위기 좋은 호텔 추천,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2545,먼저 기능 ㄱㄱ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4516,안뇽 제주도 여행 정보를 좀 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1909,서귀포 관광지 추천 아 해라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1298,제주도 갈만한 흠 카페 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4989,남원 봄에 재밌는 거 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3510,김녕로 대패 삼겹살 음식점 추천해 줘요.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4816,나 제주도 여행 가,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5106,한림 여름 액티비티 있나?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1073,좀 카페 추천 해주라.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4384,내일 모레 애월 날씨 상황 어떠니?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1913,제주섬 관광지 추천 어 해라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4187,내일 제주 동부 날씨 상황 알려 줄래?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1796,아 제주도 아래쪽 관광지 추천 해.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4145,다음주 우도 날씨 상태 궁금해요.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3255,북성로 맛있는 갈치조림 식당 어디가 좋니?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1773,서귀포 관광지 추천 아 해.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,제주 마당 있는 펜션,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3715,가문동길 지역에서 유명한 몸국 음식점 어디가 좋니?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
623,한달살기 저 펜션 어디가 좋아?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4379,내일 제주공항 근처 기온 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
